id,title,product_type,currency,cost,image_link,seller_name, rating,color,description,new_title,gender,google_brand
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,"['Clothing', 'Jackets & Coats']",USD,27,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,Fandom Finds,2.5,"['Black', 'Yellow']","This zip-up hoodie is perfect for layering over your favorite tops and tees. Its made from a soft, mid-weight fabric and features a relaxed fit. The hood is lined with a soft, plush fabric for added warmth and comfort.",Womens Full-Zip Hoodie - Grey,Women,Google
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,"['Clothing', 'Jackets & Coats']",USD,27,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,Fandom Finds,2.5,"['Black', 'Yellow']","This zip-up hoodie is perfect for layering over your favorite tops and tees. Its made from a soft, mid-weight fabric and features a relaxed fit. The hood is lined with a soft, plush fabric for added warmth and comfort.",Womens Full-Zip Hoodie - Grey,Women,Google
GGOEGDHR018499,Google 22 oz Water Bottle,"['Drinkware', 'Bottles']",USD,67,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHR018499.jpg,Motivation Merch,3.1,"['Red', 'Black']",This is a red and black water bottle with the Google logo on it.,Google Water Bottle,Unisex,Google
GGOEGAEJ168617,Google Campus Unisex Zip Hoodie,"['Clothing', 'Unisex Clothing', 'Hoodies & Sweatshirts']",USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1686.jpg,Dreamer's Den,3.2,"['Grey', 'Multicolor']","This is a unisex zip hoodie with a colorful textured word collage design. The hoodie is made of a soft and comfortable cotton blend and features a drawstring hood, front zip closure, and two front pockets. The word collage design is made up of a variety of different words and phrases in different colors and fonts, creating a unique and eye-catching look.",Mens and Womens Colorful Textured Word Collage Pullover Hoodie,Unisex,Google
GGCPCBBB177999,Google Cloud ASL Packing Cubes,"['Luggage & Bags', 'Travel Accessories', 'Packing Organizers']",USD,12,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Zen Zone,2.7,"['Black', 'White']","The Google Cloud Travel Bag is made of durable, water-resistant material and features a main compartment with a zippered closure, a front pocket with a hook-and-loop closure.",Google Cloud Travel Bag,Unisex,Google Cloud
GGCPCBBB177999,Google Cloud ASL Packing Cubes,"['Luggage & Bags', 'Travel Accessories', 'Packing Organizers']",USD,14,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Mystic Market,3.0,"['Black', 'White']","The Google Cloud Travel Bag is made of durable, water-resistant material and features a main compartment with a zippered closure, a front pocket with a hook-and-loop closure.",Google Cloud Travel Bag,Unisex,Google Cloud
GGCPCBBB177999,Google Cloud ASL Packing Cubes,"['Luggage & Bags', 'Travel Accessories', 'Packing Organizers']",USD,12,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Quirk & Co.,3.1,"['Black', 'White']","The Google Cloud Travel Bag is made of durable, water-resistant material and features a main compartment with a zippered closure, a front pocket with a hook-and-loop closure.",Google Cloud Travel Bag,Unisex,Google Cloud
GGCPCBBB177999,Google Cloud ASL Packing Cubes,"['Luggage & Bags', 'Travel Accessories', 'Packing Organizers']",USD,24,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Gadget Guru,3.0,"['Black', 'White']","The Google Cloud Travel Bag is made of durable, water-resistant material and features a main compartment with a zippered closure, a front pocket with a hook-and-loop closure.",Google Cloud Travel Bag,Unisex,Google Cloud
GGCPCBBB177999,Google Cloud ASL Packing Cubes,"['Luggage & Bags', 'Travel Accessories', 'Packing Organizers']",USD,18,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Dreamer's Den,3.2,"['Black', 'White']","The Google Cloud Travel Bag is made of durable, water-resistant material and features a main compartment with a zippered closure, a front pocket with a hook-and-loop closure.",Google Cloud Travel Bag,Unisex,Google Cloud
GGSIGBRB101299,Google Cloud GSI Backpack,['Backpacks'],USD,5,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGBRB101299.jpg,Zen Zone,2.7,"['Black', 'Red']","The OGIO Metro Backpack is a stylish and functional backpack perfect for everyday use. It features a spacious main compartment, a front pocket with an organizer, and two side pockets for water bottles or other small items. The backpack is made from durable materials and has a comfortable carrying system.",OGIO Metro Backpack - Black,Unisex,Google Cloud
