id,title,product_type,currency,value,image_link
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Accessories,USD,1,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,Kit,USD,37,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg
GGEBCCBA108299,CAB International Mid Tier - Workspace,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg
GGOEGAAB207512,Chrome Dino Glow-in-the-Dark Unisex Tee,Apparel,USD,30,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2075.jpg
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,58,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg
GGEBCCBA112799,Community Playlist Competition Kit,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,Apparel,USD,43,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg
GGOEGDHR018499,Google 22 oz Water Bottle,Drinkware,USD,2.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHR018499.jpg
