id,title,product_type,currency,value,image_link,color,description,gender,google_brand
GGOEGAYC135814,Google Badge Tee,"['Apparel & Accessories', 'Tops & Tees', 'T-shirts']",USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1358.jpg,['Blue'],"A classic crew neck tee made from 100% cotton. Its soft and comfortable, and features a small Google logo on the chest.",Unisex,Google
GGOEGAYB116715,Google Logo Youth Hoodie,"['Clothing', 'Unisex Clothing', 'Hoodies & Sweatshirts']",USD,40,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1167.jpg,"['Black', 'Multicolor']",This black pullover hoodie from Google features the Google logo on the chest. It is made from a soft and comfortable cotton blend and has a relaxed fit. The hoodie is perfect for everyday wear and is sure to keep you warm and comfortable.,Unisex,Google
GGOEGAYH067925,Google Green T-shirt,"['Apparel & Accessories', 'Clothing', 'Tops', 'T-shirts']",USD,18.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,"['Green', 'White']",A green t-shirt with the Google logo on the front.,women,Google
GGCPHAAC114313,Hash Code T-shirt,"['Apparel & Accessories', 'Clothing', 'Tops', 'T-shirts']",USD,180,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,"['Blue', 'White']",A blue t-shirt with the Hash Code logo on the front.,Unisex,Hash Code
GGCOGAFB218616,HOLA Mens Pullover,"['Clothing', 'Hoodies & Sweatshirts']",USD,94,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGCOGXXX2186.jpg,"['Black', 'Multicolor']",This black pullover hoodie from HOLA features a rainbow-colored HOLA logo on the chest. It has a relaxed fit and is made from a soft cotton blend.,men,Google
GGCLCCBJ112499,Google Cloud Certified Hybrid Multi-Cloud Professional Messenger Bag,"['Luggage & Bags', 'Briefcases']",USD,165,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBJ112499.jpg,"['black', 'gray']","The Timbuk2 Spire Messenger Bag is a stylish and functional bag perfect for carrying your laptop and other essentials. It features a spacious main compartment and a front pocket for smaller items. The bag is made from high-quality materials and is durable and water-resistant. It is also comfortable to carry, with a padded shoulder strap and a trolley sleeve.",unisex,Google Cloud
GGCPTBDA189999,Kick Start 2021 Kit B,"['Electronics', 'Computers', 'Accessories']",USD,18.29,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPTBDA189999.jpg,"['Black', 'White', 'Blue']","The Kick Start 2021 Kit B includes a laptop stand, a mouse pad, a lunch bag, a carabiner, and a key ring. The items are black, white, and blue.",Unisex,Google
GGCPGDNQ201799,SPEAR Vacuum Insulated Tumbler,"['Drinkware', 'Tumblers']",USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGDNQ201799.jpg,"['White', 'Blue', 'Purple']",The SPEAR Vacuum Insulated Tumbler is made of stainless steel and has a capacity of 16 ounces. It is white and has a blue and purple SPEAR logo on it.,unisex,
GGOEGAEB197016,Mixed T-shirt,"['Clothing and accessories', 'T-shirts']",USD,38.12,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1970.jpg,"['Black, Brown']",A black unisex t-shirt with the word Mixed in brown letters.,Unisex,Google
GGCPGADB152517,Google High Loft Fleece Jacket,['Jackets & Coats'],USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1525.jpg,['Black'],"This black jacket is made of high loft fleece and features a full zip closure, two hand pockets, and a drawcord hem. The jacket is water-resistant and windproof, making it ideal for outdoor activities.",men,Google
