id,title,product_type,currency,value,image_link,seller_name
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Accessories,USD,1,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Print Pop,4.1
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Accessories,USD,1,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Canvas Couture,3.4
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Accessories,USD,1,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Fandom Finds,3.3
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Accessories,USD,1,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Pop Art Provisions,3.0
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Urban Edge,2.8
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Vinyl Vault,4.4
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Fandom Finds,3.3
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Sarcasm Society,3.8
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Custom Culture,3.6
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,Kit,USD,37,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,Vinyl Vault,4.4
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,Kit,USD,37,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,Rebel Threads,2.9
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,Kit,USD,37,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,Custom Culture,2.7
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Custom Culture,2.7
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Canvas Couture,3.4
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Expression Essentials,3.1
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Minimalist Manifesto,3.9
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Gadget Guru,4.0
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Wanderlust Wardrobe,3.2
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Sarcasm Society,3.0
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Cult Classic Closet,3.6
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Pop Art Provisions,3.0
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Mystic Market,4.2
GGEBCCBA108299,CAB International Mid Tier - Workspace,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,Canvas Couture,3.4
GGEBCCBA108299,CAB International Mid Tier - Workspace,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,Custom Culture,3.6
GGEBCCBA108299,CAB International Mid Tier - Workspace,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,Fandom Finds,3.3
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,Rebel Threads,2.9
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,Quirk & Co.,4.5
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,Zen Zone,4.3
GGOEGAAB207512,Chrome Dino Glow-in-the-Dark Unisex Tee,Apparel,USD,30,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2075.jpg,Expression Essentials,3.1
GGOEGAAB207512,Chrome Dino Glow-in-the-Dark Unisex Tee,Apparel,USD,30,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2075.jpg,Sarcasm Society,3.8
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Mystic Market,3.7
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Quirk & Co.,3.1
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Print Pop,4.1
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Rebel Threads,2.9
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Fandom Finds,3.3
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,58,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,Canvas Couture,3.4
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,58,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,Mystic Market,4.2
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,58,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,Gadget Guru,3.0
GGEBCCBA112799,Community Playlist Competition Kit,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,Sarcasm Society,3.0
GGEBCCBA112799,Community Playlist Competition Kit,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,Expression Essentials,3.1
GGEBCCBA112799,Community Playlist Competition Kit,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,Sarcasm Society,3.0
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,Apparel,USD,43,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,Fandom Finds,2.5
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,Apparel,USD,43,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,Fandom Finds,2.5
GGOEGDHR018499,Google 22 oz Water Bottle,Drinkware,USD,2.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHR018499.jpg,Motivation Merch,3.1
GGOEGAEJ168617,Google Campus Unisex Zip Hoodie,Apparel,USD,60,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1686.jpg,Dreamer's Den,3.2
GGCPCBBB177999,Google Cloud ASL Packing Cubes,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Zen Zone,2.7
GGCPCBBB177999,Google Cloud ASL Packing Cubes,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Mystic Market,3.0
GGCPCBBB177999,Google Cloud ASL Packing Cubes,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Quirk & Co.,3.1
GGCPCBBB177999,Google Cloud ASL Packing Cubes,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Gadget Guru,3.0
GGCPCBBB177999,Google Cloud ASL Packing Cubes,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Dreamer's Den,3.2
GGSIGBRB101299,Google Cloud GSI Backpack,Bags,USD,0,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGBRB101299.jpg,Zen Zone,2.7
GGOECOLJ199399,Google Cloud Large Executive Journal,Office,USD,30,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECOLJ199399.jpg,Canvas Couture,2.6
GGEBCAPJ100410,Google Cloud Leatherette Patch Hat,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCAPJ100410.jpg,Rebel Threads,2.9
GGEBCAPJ100410,Google Cloud Leatherette Patch Hat,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCAPJ100410.jpg,Print Pop,2.5
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Apparel,USD,0,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Fandom Finds,3.3
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Apparel,USD,0,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Fandom Finds,3.0
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Apparel,USD,0,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Canvas Couture,2.6
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Apparel,USD,0,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Zen Zone,2.7
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Apparel,USD,0,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Fandom Finds,3.3
GGEBCCBQ101599,Google Cloud Sports Towel,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBQ101599.jpg,Sarcasm Society,3.8
GGEBCCBQ101599,Google Cloud Sports Towel,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBQ101599.jpg,Minimalist Manifesto,3.9
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,69,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Canvas Couture,3.4
