id,title,product_type,currency,cost,image_link,seller_name,color,description,short_description
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Electronics,USD,45,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Print Pop,4.1,Red,The remarkable sticker.,I am remarkable
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Electronics,USD,60,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Canvas Couture,3.4,Red,The remarkable sticker.,I am remarkable
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Electronics,USD,63,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Fandom Finds,3.3,Red,The remarkable sticker.,I am remarkable
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Electronics,USD,55,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,Pop Art Provisions,3.0,Red,The remarkable sticker.,I am remarkable
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",notebooks,USD,86,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Urban Edge,2.8,black,This is a notebook with the Google Cloud logo on it.,Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",notebooks,USD,91,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Vinyl Vault,4.4,black,This is a notebook with the Google Cloud logo on it.,Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",notebooks,USD,87,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Fandom Finds,3.3,black,This is a notebook with the Google Cloud logo on it.,Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",notebooks,USD,98,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Sarcasm Society,3.8,black,This is a notebook with the Google Cloud logo on it.,Google Cloud Notebook
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",notebooks,USD,97,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,Custom Culture,3.6,black,This is a notebook with the Google Cloud logo on it.,Google Cloud Notebook
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,apparel,USD,7,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,Vinyl Vault,4.4,black,Ads Data Hub - T-Shirt,Ads Data Hub
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,apparel,USD,5,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,Rebel Threads,2.9,black,Ads Data Hub - T-Shirt,Ads Data Hub
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,apparel,USD,12,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,Custom Culture,2.7,black,Ads Data Hub - T-Shirt,Ads Data Hub
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,t-shirt,USD,98,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Custom Culture,2.7,blue,A blue t-shirt with the Android logo on it.,Android T-Shirt
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,t-shirt,USD,97,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Canvas Couture,3.4,blue,A blue t-shirt with the Android logo on it.,Android T-Shirt
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,t-shirt,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Expression Essentials,3.1,blue,A blue t-shirt with the Android logo on it.,Android T-Shirt
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,t-shirt,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Minimalist Manifesto,3.9,blue,A blue t-shirt with the Android logo on it.,Android T-Shirt
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,t-shirt,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,Gadget Guru,4.0,blue,A blue t-shirt with the Android logo on it.,Android T-Shirt
GGEBCCBA107999,CAB International High Tier - Outdoor,Gifts,USD,85,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Wanderlust Wardrobe,3.2,Brown,"Take your next outdoor adventure to the next level with the Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo. This stylish and functional blanket is perfect for picnics, camping, or just lounging in the park. The blanket is made from durable polyester and features a water-resistant backing, so you can stay dry and comfortable even on damp ground. The blanket also has a convenient carrying handle, so you can easily take it with you wherever you go. The 2 glass water bottles are made from durable glass and feature a leak-proof design, so you can stay hydrated without having to worry about spills. The bottles also have a custom logo, so you can show off your brand while youre on the go.",Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo
