id,title,product_type,currency,value,availability,image_link,link
GGTUGCKA101299,#IAmRemarkable Icon Red Sticker,Accessories,USD,1,in_stock,https://shop.googlemerchandisestore.com/store/20180919570/assets/items/images/GGTUGCKA101299.jpg,https://shop.googlemerchandisestore.com/Google+Candidate+Swag+Portal/IAmRemarkable+Icon+Red+Sticker
GGCPCOLB409799,"5.5"" x 8.5""  Journal for 2023 Google Cloud Partner All-Stars",Office,USD,9.65,in_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCOLB409799.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Journal+for+2023+Google+Cloud+Partner+All-Stars
GGCPGAEJ122215,Ads Data Hub Tee and Mug Kit,Kit,USD,37,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1222.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Ads+Data+Hub+Tee+and+Mug+Kit
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,Apparel,USD,19.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX0812.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Mens+Take+Charge+Short+Sleeve+Tee+Purple.axd
GGEBCCBA107999,CAB International High Tier - Outdoor,tbd,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+CAB+Portal/Google+Cloud+CAB+Outdoor+Bundle+H+International
GGEBCCBA108299,CAB International Mid Tier - Workspace,tbd,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+CAB+Portal/Google+Cloud+CAB+Workspace+Bundle+M+International
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Canvas+Duffle+Bag
GGOEGAAB207512,Chrome Dino Glow-in-the-Dark Unisex Tee,Apparel,USD,30,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2075.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Chrome+Dino+Glow-in-the-Dark+Unisex+Tee
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Kit,USD,46.14,out_of_stock,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Cloud+Architect+Recertification+Kit+Beta+Hat
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,58,in_stock,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Prof+Cloud+Arch+Timbuk2+Flip+Pack+b
